# x 	 y 	 x_err 	 y_err
-200.00000  -30.00000    0.33167    0.77944
-200.00000  -20.00000    0.46434    0.82919
-200.00000  -10.00000    0.46434    0.74627
-200.00000    0.00000    0.46434    0.66335
-200.00000   10.00000    0.33167    0.71310
-200.00000   20.00000    0.33167    0.49751
-200.00000   30.00000    0.46434    0.54726
-200.00000   40.00000    0.33167    0.46434
-200.00000   50.00000    0.33167    0.51410
-200.00000   60.00000    0.33167    0.56385
-200.00000   70.00000    0.19900    0.61360
-200.00000   80.00000    0.33167    0.53068
-200.00000   90.00000    0.19900    0.71310
-200.00000  100.00000    0.33167    0.76285
-200.00000  110.00000    0.19900    0.81260
-200.00000  120.00000    0.19900    0.72968
-200.00000  130.00000    0.33167    0.91211
-200.00000  140.00000    0.19900    0.96186
-200.00000  150.00000    0.33167    1.01161
-200.00000  160.00000    0.19900    1.32670
-200.00000  170.00000    0.19900    1.24378
-190.00000  -30.00000    0.38143    0.77944
-190.00000  -20.00000    0.38143    0.69652
-190.00000  -10.00000    0.51410    0.61360
-190.00000    0.00000    0.38143    0.66335
-190.00000   10.00000    0.38143    0.58043
-190.00000   20.00000    0.38143    0.63018
-190.00000   30.00000    0.38143    0.54726
-190.00000   40.00000    0.38143    0.46434
-190.00000   50.00000    0.38143    0.51410
-190.00000   60.00000    0.24876    0.56385
-190.00000   70.00000    0.38143    0.48093
-190.00000   80.00000    0.24876    0.53068
-190.00000   90.00000    0.38143    0.58043
-190.00000  100.00000    0.24876    0.63018
-190.00000  110.00000    0.24876    0.67993
-190.00000  120.00000    0.24876    0.72968
-190.00000  130.00000    0.24876    0.91211
-190.00000  140.00000    0.24876    0.96186
-190.00000  150.00000    0.24876    1.14428
-190.00000  160.00000    0.24876    1.06136
-190.00000  170.00000    0.24876    1.24378
-180.00000  -30.00000    0.29851    0.64677
-180.00000  -20.00000    0.43118    0.82919
-180.00000  -10.00000    0.43118    0.61360
-180.00000    0.00000    0.43118    0.66335
