# x 	 y 	 x_err 	 y_err
   0.00000  -60.00000   -0.39381   -0.04330
  20.00000  -60.00000   -0.34655   -0.09253
  60.00000  -60.00000   -0.23563   -0.19101
  40.00000  -60.00000   -0.29929   -0.14175
 120.00000  -60.00000   -0.11027   -0.32227
 100.00000  -60.00000   -0.15752   -0.25662
  80.00000  -60.00000   -0.15556   -0.25662
 400.00000  -60.00000    0.55131   -0.17459
 140.00000  -60.00000   -0.01379   -0.37149
 460.00000  -60.00000    0.51261   -0.25662
 440.00000  -60.00000    0.54740   -0.24020
 240.00000  -60.00000    0.15684   -0.27304
 420.00000  -60.00000    0.56577   -0.20737
 280.00000  -60.00000    0.26780   -0.35507
 220.00000  -60.00000    0.17524   -0.37149
 200.00000  -60.00000    0.12800   -0.30585
 180.00000  -60.00000    0.06432   -0.32224
 340.00000  -60.00000    0.39310   -0.22382
 160.00000  -60.00000    0.08270   -0.33865
  20.00000  -40.00000   -0.23168   -0.07809
   0.00000  -40.00000   -0.24613   -0.04529
  60.00000  -40.00000   -0.12078   -0.16013
  40.00000  -40.00000   -0.21725   -0.12732
  80.00000  -40.00000   -0.08993   -0.20935
 380.00000  -40.00000    0.65177   -0.14374
 140.00000  -40.00000    0.08466   -0.32422
 400.00000  -40.00000    0.64979   -0.20935
 360.00000  -40.00000    0.55527   -0.20938
 300.00000  -40.00000    0.34785   -0.30783
 280.00000  -40.00000    0.31699   -0.25861
 240.00000  -40.00000    0.22251   -0.27499
 220.00000  -40.00000    0.09318   -0.30780
 200.00000  -40.00000    0.17719   -0.27499
 460.00000  -40.00000    0.64390   -0.30783
 180.00000  -40.00000    0.17918   -0.25858
 160.00000  -40.00000    0.13192   -0.32425
 340.00000  -40.00000    0.57365   -0.19296
  20.00000  -20.00000   -0.11684   -0.04724
   0.00000  -20.00000   -0.16409    0.00198
  60.00000  -20.00000   -0.05514   -0.11288
  40.00000  -20.00000   -0.08598   -0.09647
 120.00000  -20.00000    0.03741   -0.24417
  80.00000  -20.00000   -0.00788   -0.16214
 400.00000  -20.00000    0.74824   -0.21133
 380.00000  -20.00000    0.75019   -0.17853
 340.00000  -20.00000    0.62287   -0.17850
 240.00000  -20.00000    0.27174   -0.26056
 220.00000  -20.00000    0.22446   -0.24414
 200.00000  -20.00000    0.22642   -0.24417
 360.00000  -20.00000    0.60450   -0.17853
 300.00000  -20.00000    0.38068   -0.22772
 280.00000  -20.00000    0.39902   -0.26056
 260.00000  -20.00000    0.28617   -0.24414
 140.00000  -20.00000    0.18311   -0.27698
 440.00000  -20.00000    0.74430   -0.27695
 180.00000  -20.00000    0.22840   -0.22775
 160.00000  -20.00000    0.04987   -0.21133
 460.00000  -20.00000    0.75877   -0.30978
  20.00000    0.00000   -0.01838    0.01642
   0.00000    0.00000   -0.03282    0.06564
  80.00000    0.00000    0.09057   -0.13126
  60.00000    0.00000    0.07614   -0.06564
  40.00000    0.00000    0.01247   -0.03281
 120.00000    0.00000    0.15226   -0.16409
 100.00000    0.00000    0.12142   -0.13127
 380.00000    0.00000    0.84867   -0.19690
 240.00000    0.00000    0.30454   -0.19690
 220.00000    0.00000    0.35575   -0.19688
 140.00000    0.00000    0.21593   -0.21330
 400.00000    0.00000    0.87949   -0.19690
 260.00000    0.00000    0.38462   -0.16406
 200.00000    0.00000    0.27567   -0.18050
 160.00000    0.00000    0.24677   -0.16409
 180.00000    0.00000    0.31043   -0.18048
 440.00000    0.00000    0.85917   -0.31175
  20.00000   20.00000    0.09647    0.06367
   0.00000   20.00000    0.11486    0.11290
  80.00000   20.00000    0.18902   -0.03477
  60.00000   20.00000    0.15817   -0.01837
  40.00000   20.00000    0.11092    0.03085
 120.00000   20.00000    0.20148   -0.10040
 100.00000   20.00000    0.20347   -0.10042
 240.00000   20.00000    0.38657   -0.10040
 220.00000   20.00000    0.37214   -0.10040
 200.00000   20.00000    0.34132   -0.11682
