# x 	 y 	 x_err 	 y_err
   0.00000  -75.00000   -0.29536   -0.37411
   0.00000  -60.00000   -0.29536   -0.20740
   0.00000  -45.00000   -0.16409   -0.04069
   0.00000  -30.00000   -0.29536   -0.00524
   0.00000  -15.00000   -0.16409    0.16147
   0.00000    0.00000    0.09845    0.32818
   0.00000   15.00000    0.22972    0.49489
   0.00000   30.00000    0.36098    0.66160
   0.00000   45.00000    0.36098    0.69704
   0.00000   60.00000    0.36098    0.99502
   0.00000   75.00000    0.49225    1.03046
  15.00000  -75.00000   -0.39118   -0.50538
  15.00000  -60.00000   -0.39118   -0.46993
  15.00000  -45.00000    0.00262   -0.30322
  15.00000  -30.00000   -0.25991   -0.00524
  15.00000  -15.00000   -0.12865    0.16147
  15.00000    0.00000    0.26516    0.32818
  15.00000   15.00000    0.00262    0.49489
  15.00000   30.00000    0.26516    0.66160
  15.00000   45.00000    0.26516    0.82831
  15.00000   60.00000    0.26516    0.86375
  15.00000   75.00000    0.52770    1.16173
  30.00000  -75.00000   -0.22447   -0.50538
  30.00000  -60.00000   -0.22447   -0.20740
  30.00000  -45.00000   -0.09320   -0.30322
  30.00000  -30.00000   -0.22447   -0.00524
  30.00000  -15.00000   -0.22447    0.16147
  30.00000    0.00000    0.03807    0.45944
  30.00000   15.00000    0.03807    0.36362
  30.00000   30.00000    0.16933    0.66160
  30.00000   45.00000    0.30060    0.69704
  30.00000   60.00000    0.43187    0.99502
  30.00000   75.00000    0.30060    1.03046
  45.00000  -75.00000   -0.58283   -0.50538
  45.00000  -60.00000   -0.18903   -0.46993
  45.00000  -45.00000   -0.32030   -0.17195
  45.00000  -30.00000   -0.05776   -0.13651
  45.00000  -15.00000   -0.18903    0.03020
  45.00000    0.00000    0.07351    0.32818
  45.00000   15.00000   -0.05776    0.36362
  45.00000   30.00000   -0.05776    0.66160
  45.00000   45.00000    0.07351    0.69704
  45.00000   60.00000    0.33604    0.86375
  45.00000   75.00000    0.33604    1.03046
  60.00000  -75.00000   -0.28485   -0.50538
  60.00000  -60.00000   -0.28485   -0.46993
  60.00000  -45.00000   -0.15359   -0.30322
  60.00000  -30.00000    0.10895   -0.13651
  60.00000  -15.00000   -0.02232    0.16147
  60.00000    0.00000    0.10895    0.32818
  60.00000   15.00000    0.10895    0.36362
  60.00000   30.00000    0.24022    0.53033
  60.00000   45.00000    0.24022    0.82831
  60.00000   60.00000    0.37149    0.86375
  60.00000   75.00000    0.37149    1.03046
  75.00000  -75.00000   -0.51195   -0.63664
  75.00000  -60.00000   -0.51195   -0.46993
  75.00000  -45.00000   -0.24941   -0.30322
  75.00000  -30.00000   -0.11814   -0.13651
  75.00000  -15.00000    0.01312    0.03020
  75.00000    0.00000    0.01312    0.19691
  75.00000   15.00000    0.14439    0.49489
  75.00000   30.00000    0.14439    0.53033
  75.00000   45.00000    0.27566    0.69704
  75.00000   60.00000    0.40693    0.86375
  75.00000   75.00000    0.53820    1.03046
  90.00000  -75.00000   -0.47651   -0.63664
  90.00000  -60.00000   -0.47651   -0.46993
  90.00000  -45.00000   -0.21397   -0.30322
  90.00000  -30.00000   -0.08270   -0.00524
  90.00000  -15.00000   -0.08270    0.16147
  90.00000    0.00000   -0.21397    0.19691
  90.00000   15.00000    0.04857    0.23235
  90.00000   30.00000    0.31110    0.53033
  90.00000   45.00000    0.17983    0.69704
  90.00000   60.00000    0.31110    0.86375
  90.00000   75.00000    0.31110    0.89919
