# x 	 y 	 x_err 	 y_err
   0.00000  -75.00000   -0.68916    0.41350
   0.00000  -60.00000   -0.68916    0.31768
   0.00000  -45.00000   -0.55789    0.35312
   0.00000  -30.00000   -0.42662    0.51983
   0.00000  -15.00000   -0.29536    0.42400
   0.00000    0.00000   -0.29536    0.72198
   0.00000   15.00000   -0.16409    0.88869
   0.00000   30.00000   -0.16409    0.79287
   0.00000   45.00000   -0.03282    0.82831
   0.00000   60.00000   -0.03282    0.99502
   0.00000   75.00000    0.22972    0.89919
  15.00000  -75.00000   -0.65372    0.28223
  15.00000  -60.00000   -0.52245    0.31768
  15.00000  -45.00000   -0.52245    0.35312
  15.00000  -30.00000   -0.65372    0.38856
  15.00000  -15.00000   -0.25991    0.55527
  15.00000    0.00000   -0.52245    0.59071
  15.00000   15.00000   -0.12865    0.75742
  15.00000   30.00000   -0.12865    0.92413
  15.00000   45.00000    0.00262    0.82831
  15.00000   60.00000    0.13389    0.86375
  15.00000   75.00000    0.26516    1.03046
  30.00000  -75.00000   -0.74954    0.28223
  30.00000  -60.00000   -0.48701    0.31768
  30.00000  -45.00000   -0.48701    0.22185
  30.00000  -30.00000   -0.35574    0.38856
  30.00000  -15.00000   -0.48701    0.55527
  30.00000    0.00000   -0.48701    0.59071
  30.00000   15.00000   -0.09320    0.62616
  30.00000   30.00000    0.03807    0.79287
  30.00000   45.00000   -0.22447    0.82831
  30.00000   60.00000    0.03807    0.86375
  30.00000   75.00000    0.16933    0.89919
  45.00000  -75.00000   -0.84537    0.15096
  45.00000  -60.00000   -0.58283    0.31768
  45.00000  -45.00000   -0.58283    0.22185
  45.00000  -30.00000   -0.45156    0.38856
  45.00000  -15.00000   -0.18903    0.55527
  45.00000    0.00000   -0.18903    0.59071
  45.00000   15.00000   -0.05776    0.62616
  45.00000   30.00000   -0.05776    0.79287
  45.00000   45.00000    0.07351    0.95958
  45.00000   60.00000    0.20478    0.99502
  45.00000   75.00000    0.07351    1.03046
  60.00000  -75.00000   -0.41612    0.15096
  60.00000  -60.00000   -0.80993    0.18641
  60.00000  -45.00000   -0.41612    0.22185
  60.00000  -30.00000   -0.41612    0.38856
  60.00000  -15.00000   -0.15359    0.42400
  60.00000    0.00000   -0.28485    0.59071
  60.00000   15.00000   -0.02232    0.88869
  60.00000   30.00000   -0.02232    0.79287
  60.00000   45.00000    0.10895    0.82831
  60.00000   60.00000    0.10895    0.86375
  60.00000   75.00000    0.24022    1.03046
  75.00000  -75.00000   -0.64322    0.15096
  75.00000  -60.00000   -0.64322    0.18641
  75.00000  -45.00000   -0.38068   -0.04069
  75.00000  -30.00000   -0.24941    0.38856
  75.00000  -15.00000   -0.11814    0.42400
  75.00000    0.00000   -0.11814    0.45944
  75.00000   15.00000   -0.11814    0.62616
  75.00000   30.00000   -0.24941    0.79287
  75.00000   45.00000   -0.11814    0.82831
  75.00000   60.00000    0.14439    0.99502
  75.00000   75.00000    0.27566    1.03046
  90.00000  -75.00000   -0.60777    0.01970
  90.00000  -60.00000   -0.47651    0.18641
  90.00000  -45.00000   -0.34524    0.22185
  90.00000  -30.00000   -0.21397    0.25729
  90.00000  -15.00000    0.04857    0.16147
  90.00000    0.00000   -0.08270    0.59071
  90.00000   15.00000   -0.08270    0.62616
  90.00000   30.00000    0.04857    0.79287
  90.00000   45.00000    0.04857    0.69704
  90.00000   60.00000    0.17983    0.99502
  90.00000   75.00000    0.17983    0.89919
 105.00000  -75.00000   -0.44106    0.01970
 105.00000  -60.00000   -0.44106    0.05514
 105.00000  -45.00000   -0.30979    0.22185
 105.00000  -30.00000   -0.17853    0.25729
 105.00000  -15.00000   -0.17853    0.42400
 105.00000    0.00000   -0.17853    0.45944
 105.00000   15.00000   -0.30979    0.62616
 105.00000   30.00000    0.08401    0.66160
 105.00000   45.00000    0.08401    0.69704
 105.00000   60.00000   -0.04726    0.86375
 105.00000   75.00000    0.34655    0.89919
 120.00000  -75.00000   -0.40562   -0.11157
 120.00000  -60.00000   -0.27435   -0.07613
 120.00000  -45.00000   -0.27435    0.09058
 120.00000  -30.00000   -0.14308    0.25729
 120.00000  -15.00000   -0.40562    0.29273
 120.00000    0.00000   -0.14308    0.45944
 120.00000   15.00000   -0.01182    0.62616
 120.00000   30.00000    0.11945    0.53033
 120.00000   45.00000   -0.01182    0.82831
 120.00000   60.00000   -0.01182    0.73248
 120.00000   75.00000   -0.01182    0.89919
 135.00000  -75.00000   -0.37018    0.01970
 135.00000  -60.00000   -0.37018    0.05514
 135.00000  -45.00000   -0.63271   -0.04069
 135.00000  -30.00000   -0.37018    0.25729
 135.00000  -15.00000   -0.37018    0.16147
 135.00000    0.00000   -0.23891    0.45944
 135.00000   15.00000   -0.23891    0.36362
 135.00000   30.00000    0.02363    0.66160
 135.00000   45.00000    0.15489    0.69704
 135.00000   60.00000    0.15489    0.86375
 135.00000   75.00000    0.15489    0.89919
 150.00000  -75.00000   -0.46600   -0.11157
 150.00000  -60.00000   -0.46600    0.05514
 150.00000  -45.00000   -0.33474    0.09058
 150.00000  -30.00000   -0.20347    0.12602
 150.00000  -15.00000   -0.20347    0.29273
 150.00000    0.00000   -0.20347    0.32818
 150.00000   15.00000   -0.07220    0.62616
 150.00000   30.00000    0.05907    0.66160
 150.00000   45.00000    0.19034    0.56577
 150.00000   60.00000    0.05907    0.73248
 150.00000   75.00000    0.19034    0.76792
 165.00000  -75.00000   -0.43056   -0.11157
 165.00000  -60.00000   -0.56183    0.05514
 165.00000  -45.00000   -0.29929    0.09058
 165.00000  -30.00000   -0.16803    0.12602
 165.00000  -15.00000   -0.03676    0.16147
 165.00000    0.00000   -0.16803    0.32818
 165.00000   15.00000   -0.16803    0.36362
 165.00000   30.00000   -0.03676    0.66160
 165.00000   45.00000   -0.16803    0.56577
 165.00000   60.00000    0.22578    0.60121
 165.00000   75.00000    0.22578    0.76792
 180.00000  -75.00000   -0.92019   -0.11157
 180.00000  -60.00000   -0.65766   -0.07613
 180.00000  -45.00000   -0.52639   -0.04069
 180.00000  -30.00000   -0.39512   -0.00524
 180.00000  -15.00000   -0.26385    0.29273
 180.00000    0.00000   -0.52639    0.32818
 180.00000   15.00000   -0.39512    0.36362
 180.00000   30.00000   -0.26385    0.39906
 180.00000   45.00000   -0.26385    0.56577
 180.00000   60.00000   -0.26385    0.60121
 180.00000   75.00000   -0.00132    0.89919
 195.00000  -75.00000   -0.35968   -0.50538
 195.00000  -60.00000   -0.49094   -0.20740
 195.00000  -45.00000   -0.75348    0.09058
 195.00000  -30.00000   -0.49094    0.12602
 195.00000  -15.00000   -0.35968    0.03020
 195.00000    0.00000   -0.49094    0.19691
 195.00000   15.00000   -0.49094    0.36362
 195.00000   30.00000   -0.49094    0.53033
 195.00000   45.00000   -0.35968    0.56577
 195.00000   60.00000   -0.35968    0.60121
 195.00000   75.00000   -0.09714    0.63666
 210.00000  -75.00000   -0.32423   -0.37411
 210.00000  -60.00000   -0.58677   -0.07613
 210.00000  -45.00000   -0.71804    0.09058
 210.00000  -30.00000   -0.45550    0.12602
 210.00000  -15.00000   -0.45550    0.16147
 210.00000    0.00000   -0.58677    0.32818
 210.00000   15.00000   -0.32423    0.36362
 210.00000   30.00000   -0.32423    0.39906
 210.00000   45.00000   -0.32423    0.56577
 210.00000   60.00000   -0.06170    0.60121
 210.00000   75.00000   -0.06170    0.76792
 225.00000  -75.00000   -0.81386   -0.37411
 225.00000  -60.00000   -0.81386   -0.07613
 225.00000  -45.00000   -0.42006   -0.17195
 225.00000  -30.00000   -0.28879   -0.00524
 225.00000  -15.00000   -0.28879    0.16147
 225.00000    0.00000   -0.28879    0.19691
 225.00000   15.00000   -0.28879    0.36362
 225.00000   30.00000   -0.28879    0.39906
 225.00000   45.00000   -0.42006    0.56577
 225.00000   60.00000    0.10501    0.46995
 225.00000   75.00000   -0.28879    0.63666
 240.00000  -75.00000   -0.51589   -0.11157
 240.00000  -60.00000   -0.51589   -0.20740
 240.00000  -45.00000   -0.38462   -0.04069
 240.00000  -30.00000   -0.38462   -0.00524
 240.00000  -15.00000   -0.25335    0.16147
 240.00000    0.00000   -0.51589    0.19691
 240.00000   15.00000   -0.25335    0.36362
 240.00000   30.00000   -0.12208    0.39906
 240.00000   45.00000   -0.25335    0.56577
 240.00000   60.00000    0.00919    0.60121
 240.00000   75.00000   -0.12208    0.63666
 255.00000  -75.00000   -0.48044   -0.11157
 255.00000  -60.00000   -0.61171   -0.07613
 255.00000  -45.00000   -0.48044   -0.17195
 255.00000  -30.00000   -0.08664   -0.13651
 255.00000  -15.00000   -0.61171    0.16147
 255.00000    0.00000   -0.34918    0.19691
 255.00000   15.00000   -0.34918    0.36362
 255.00000   30.00000   -0.21791    0.39906
 255.00000   45.00000   -0.21791    0.56577
 255.00000   60.00000   -0.08664    0.60121
 255.00000   75.00000   -0.21791    0.76792
 270.00000  -75.00000   -0.44500   -0.11157
 270.00000  -60.00000   -0.57627   -0.07613
 270.00000  -45.00000   -0.44500   -0.04069
 270.00000  -30.00000   -0.44500    0.12602
 270.00000  -15.00000   -0.18246    0.16147
 270.00000    0.00000   -0.18246    0.32818
 270.00000   15.00000   -0.18246    0.36362
 270.00000   30.00000   -0.18246    0.39906
 270.00000   45.00000   -0.05120    0.43450
 270.00000   60.00000    0.08007    0.46995
 270.00000   75.00000    0.08007    0.63666
 285.00000  -75.00000   -0.40956   -0.11157
 285.00000  -60.00000   -0.40956    0.05514
 285.00000  -45.00000   -0.27829   -0.04069
 285.00000  -30.00000   -0.14702   -0.00524
 285.00000  -15.00000   -0.40956    0.16147
 285.00000    0.00000   -0.27829    0.32818
 285.00000   15.00000   -0.40956    0.36362
 285.00000   30.00000   -0.14702    0.39906
